"time","Well","OD600","Strain","Mutant"
0,"A1",0.002,"Strain_A","Knock-OUT (-)"
0,"A2",0.002,"Strain_A","Knock-OUT (-)"
0,"A3",0.002,"Strain_A","Knock-OUT (-)"
0,"A4",0.002,"Strain_A","Knock-OUT (-)"
0,"A5",0.002,"Strain_A","Knock-OUT (-)"
0,"A6",0.002,"Strain_A","Knock-OUT (-)"
0,"A7",0.002,"Strain_A","Knock-IN (+)"
0,"A8",0.002,"Strain_A","Knock-IN (+)"
0,"A9",0.002,"Strain_A","Knock-IN (+)"
0,"A10",0.002,"Strain_A","Knock-IN (+)"
0,"A11",0.002,"Strain_A","Knock-IN (+)"
0,"A12",0.002,"Strain_A","Knock-IN (+)"
0,"B1",0.002,"Strain_B","Knock-OUT (-)"
0,"B2",0.002,"Strain_B","Knock-OUT (-)"
0,"B3",0.002,"Strain_B","Knock-OUT (-)"
0,"B4",0.002,"Strain_B","Knock-OUT (-)"
0,"B5",0.002,"Strain_B","Knock-OUT (-)"
0,"B6",0.002,"Strain_B","Knock-OUT (-)"
0,"B7",0.002,"Strain_B","Knock-IN (+)"
0,"B8",0.002,"Strain_B","Knock-IN (+)"
0,"B9",0.002,"Strain_B","Knock-IN (+)"
0,"B10",0.002,"Strain_B","Knock-IN (+)"
0,"B11",0.002,"Strain_B","Knock-IN (+)"
0,"B12",0.002,"Strain_B","Knock-IN (+)"
0,"C1",0.002,"Strain_C","Knock-OUT (-)"
0,"C2",0.002,"Strain_C","Knock-OUT (-)"
0,"C3",0.002,"Strain_C","Knock-OUT (-)"
0,"C4",0.002,"Strain_C","Knock-OUT (-)"
0,"C5",0.002,"Strain_C","Knock-OUT (-)"
0,"C6",0.002,"Strain_C","Knock-OUT (-)"
0,"C7",0.002,"Strain_C","Knock-IN (+)"
0,"C8",0.002,"Strain_C","Knock-IN (+)"
0,"C9",0.002,"Strain_C","Knock-IN (+)"
0,"C10",0.002,"Strain_C","Knock-IN (+)"
0,"C11",0.002,"Strain_C","Knock-IN (+)"
0,"C12",0.002,"Strain_C","Knock-IN (+)"
15,"A1",0.002,"Strain_A","Knock-OUT (-)"
15,"A2",0.002,"Strain_A","Knock-OUT (-)"
15,"A3",0.002,"Strain_A","Knock-OUT (-)"
15,"A4",0.002,"Strain_A","Knock-OUT (-)"
15,"A5",0.002,"Strain_A","Knock-OUT (-)"
15,"A6",0.002,"Strain_A","Knock-OUT (-)"
15,"A7",0.002,"Strain_A","Knock-IN (+)"
15,"A8",0.002,"Strain_A","Knock-IN (+)"
15,"A9",0.002,"Strain_A","Knock-IN (+)"
15,"A10",0.002,"Strain_A","Knock-IN (+)"
15,"A11",0.002,"Strain_A","Knock-IN (+)"
15,"A12",0.002,"Strain_A","Knock-IN (+)"
15,"B1",0.002,"Strain_B","Knock-OUT (-)"
15,"B2",0.002,"Strain_B","Knock-OUT (-)"
15,"B3",0.002,"Strain_B","Knock-OUT (-)"
15,"B4",0.002,"Strain_B","Knock-OUT (-)"
15,"B5",0.002,"Strain_B","Knock-OUT (-)"
15,"B6",0.002,"Strain_B","Knock-OUT (-)"
15,"B7",0.002,"Strain_B","Knock-IN (+)"
15,"B8",0.002,"Strain_B","Knock-IN (+)"
15,"B9",0.002,"Strain_B","Knock-IN (+)"
15,"B10",0.002,"Strain_B","Knock-IN (+)"
15,"B11",0.002,"Strain_B","Knock-IN (+)"
15,"B12",0.002,"Strain_B","Knock-IN (+)"
15,"C1",0.002,"Strain_C","Knock-OUT (-)"
15,"C2",0.002,"Strain_C","Knock-OUT (-)"
15,"C3",0.002,"Strain_C","Knock-OUT (-)"
15,"C4",0.002,"Strain_C","Knock-OUT (-)"
15,"C5",0.002,"Strain_C","Knock-OUT (-)"
15,"C6",0.002,"Strain_C","Knock-OUT (-)"
15,"C7",0.002,"Strain_C","Knock-IN (+)"
15,"C8",0.002,"Strain_C","Knock-IN (+)"
15,"C9",0.002,"Strain_C","Knock-IN (+)"
15,"C10",0.002,"Strain_C","Knock-IN (+)"
15,"C11",0.002,"Strain_C","Knock-IN (+)"
15,"C12",0.002,"Strain_C","Knock-IN (+)"
30,"A1",0.002,"Strain_A","Knock-OUT (-)"
30,"A2",0.002,"Strain_A","Knock-OUT (-)"
30,"A3",0.002,"Strain_A","Knock-OUT (-)"
30,"A4",0.002,"Strain_A","Knock-OUT (-)"
30,"A5",0.002,"Strain_A","Knock-OUT (-)"
30,"A6",0.002,"Strain_A","Knock-OUT (-)"
30,"A7",0.002,"Strain_A","Knock-IN (+)"
30,"A8",0.002,"Strain_A","Knock-IN (+)"
30,"A9",0.002,"Strain_A","Knock-IN (+)"
30,"A10",0.002,"Strain_A","Knock-IN (+)"
30,"A11",0.002,"Strain_A","Knock-IN (+)"
30,"A12",0.002,"Strain_A","Knock-IN (+)"
30,"B1",0.002,"Strain_B","Knock-OUT (-)"
30,"B2",0.002,"Strain_B","Knock-OUT (-)"
30,"B3",0.002,"Strain_B","Knock-OUT (-)"
30,"B4",0.002,"Strain_B","Knock-OUT (-)"
30,"B5",0.002,"Strain_B","Knock-OUT (-)"
30,"B6",0.002,"Strain_B","Knock-OUT (-)"
30,"B7",0.002,"Strain_B","Knock-IN (+)"
30,"B8",0.002,"Strain_B","Knock-IN (+)"
30,"B9",0.002,"Strain_B","Knock-IN (+)"
30,"B10",0.002,"Strain_B","Knock-IN (+)"
30,"B11",0.002,"Strain_B","Knock-IN (+)"
30,"B12",0.002,"Strain_B","Knock-IN (+)"
30,"C1",0.002,"Strain_C","Knock-OUT (-)"
30,"C2",0.002,"Strain_C","Knock-OUT (-)"
30,"C3",0.002,"Strain_C","Knock-OUT (-)"
30,"C4",0.002,"Strain_C","Knock-OUT (-)"
30,"C5",0.002,"Strain_C","Knock-OUT (-)"
30,"C6",0.002,"Strain_C","Knock-OUT (-)"
30,"C7",0.002,"Strain_C","Knock-IN (+)"
30,"C8",0.002,"Strain_C","Knock-IN (+)"
30,"C9",0.002,"Strain_C","Knock-IN (+)"
30,"C10",0.002,"Strain_C","Knock-IN (+)"
30,"C11",0.002,"Strain_C","Knock-IN (+)"
30,"C12",0.002,"Strain_C","Knock-IN (+)"
45,"A1",0.002,"Strain_A","Knock-OUT (-)"
45,"A2",0.002,"Strain_A","Knock-OUT (-)"
45,"A3",0.002,"Strain_A","Knock-OUT (-)"
45,"A4",0.002,"Strain_A","Knock-OUT (-)"
45,"A5",0.002,"Strain_A","Knock-OUT (-)"
45,"A6",0.002,"Strain_A","Knock-OUT (-)"
45,"A7",0.002,"Strain_A","Knock-IN (+)"
45,"A8",0.002,"Strain_A","Knock-IN (+)"
45,"A9",0.002,"Strain_A","Knock-IN (+)"
45,"A10",0.002,"Strain_A","Knock-IN (+)"
45,"A11",0.002,"Strain_A","Knock-IN (+)"
45,"A12",0.002,"Strain_A","Knock-IN (+)"
45,"B1",0.002,"Strain_B","Knock-OUT (-)"
45,"B2",0.002,"Strain_B","Knock-OUT (-)"
45,"B3",0.002,"Strain_B","Knock-OUT (-)"
45,"B4",0.002,"Strain_B","Knock-OUT (-)"
45,"B5",0.002,"Strain_B","Knock-OUT (-)"
45,"B6",0.002,"Strain_B","Knock-OUT (-)"
45,"B7",0.002,"Strain_B","Knock-IN (+)"
45,"B8",0.002,"Strain_B","Knock-IN (+)"
45,"B9",0.002,"Strain_B","Knock-IN (+)"
45,"B10",0.002,"Strain_B","Knock-IN (+)"
45,"B11",0.002,"Strain_B","Knock-IN (+)"
45,"B12",0.002,"Strain_B","Knock-IN (+)"
45,"C1",0.002,"Strain_C","Knock-OUT (-)"
45,"C2",0.002,"Strain_C","Knock-OUT (-)"
45,"C3",0.002,"Strain_C","Knock-OUT (-)"
45,"C4",0.002,"Strain_C","Knock-OUT (-)"
45,"C5",0.002,"Strain_C","Knock-OUT (-)"
45,"C6",0.002,"Strain_C","Knock-OUT (-)"
45,"C7",0.002,"Strain_C","Knock-IN (+)"
45,"C8",0.002,"Strain_C","Knock-IN (+)"
45,"C9",0.002,"Strain_C","Knock-IN (+)"
45,"C10",0.002,"Strain_C","Knock-IN (+)"
45,"C11",0.002,"Strain_C","Knock-IN (+)"
45,"C12",0.002,"Strain_C","Knock-IN (+)"
60,"A1",0.003,"Strain_A","Knock-OUT (-)"
60,"A2",0.002,"Strain_A","Knock-OUT (-)"
60,"A3",0.002,"Strain_A","Knock-OUT (-)"
60,"A4",0.002,"Strain_A","Knock-OUT (-)"
60,"A5",0.002,"Strain_A","Knock-OUT (-)"
60,"A6",0.002,"Strain_A","Knock-OUT (-)"
60,"A7",0.002,"Strain_A","Knock-IN (+)"
60,"A8",0.002,"Strain_A","Knock-IN (+)"
60,"A9",0.002,"Strain_A","Knock-IN (+)"
60,"A10",0.002,"Strain_A","Knock-IN (+)"
60,"A11",0.003,"Strain_A","Knock-IN (+)"
60,"A12",0.003,"Strain_A","Knock-IN (+)"
60,"B1",0.002,"Strain_B","Knock-OUT (-)"
60,"B2",0.002,"Strain_B","Knock-OUT (-)"
60,"B3",0.002,"Strain_B","Knock-OUT (-)"
60,"B4",0.003,"Strain_B","Knock-OUT (-)"
60,"B5",0.003,"Strain_B","Knock-OUT (-)"
60,"B6",0.002,"Strain_B","Knock-OUT (-)"
60,"B7",0.002,"Strain_B","Knock-IN (+)"
60,"B8",0.002,"Strain_B","Knock-IN (+)"
60,"B9",0.002,"Strain_B","Knock-IN (+)"
60,"B10",0.002,"Strain_B","Knock-IN (+)"
60,"B11",0.003,"Strain_B","Knock-IN (+)"
60,"B12",0.002,"Strain_B","Knock-IN (+)"
60,"C1",0.002,"Strain_C","Knock-OUT (-)"
60,"C2",0.002,"Strain_C","Knock-OUT (-)"
60,"C3",0.002,"Strain_C","Knock-OUT (-)"
60,"C4",0.002,"Strain_C","Knock-OUT (-)"
60,"C5",0.002,"Strain_C","Knock-OUT (-)"
60,"C6",0.002,"Strain_C","Knock-OUT (-)"
60,"C7",0.002,"Strain_C","Knock-IN (+)"
60,"C8",0.002,"Strain_C","Knock-IN (+)"
60,"C9",0.002,"Strain_C","Knock-IN (+)"
60,"C10",0.002,"Strain_C","Knock-IN (+)"
60,"C11",0.002,"Strain_C","Knock-IN (+)"
60,"C12",0.002,"Strain_C","Knock-IN (+)"
75,"A1",0.003,"Strain_A","Knock-OUT (-)"
75,"A2",0.002,"Strain_A","Knock-OUT (-)"
75,"A3",0.003,"Strain_A","Knock-OUT (-)"
75,"A4",0.002,"Strain_A","Knock-OUT (-)"
75,"A5",0.002,"Strain_A","Knock-OUT (-)"
75,"A6",0.003,"Strain_A","Knock-OUT (-)"
75,"A7",0.002,"Strain_A","Knock-IN (+)"
75,"A8",0.003,"Strain_A","Knock-IN (+)"
75,"A9",0.003,"Strain_A","Knock-IN (+)"
75,"A10",0.003,"Strain_A","Knock-IN (+)"
75,"A11",0.003,"Strain_A","Knock-IN (+)"
75,"A12",0.003,"Strain_A","Knock-IN (+)"
75,"B1",0.002,"Strain_B","Knock-OUT (-)"
75,"B2",0.003,"Strain_B","Knock-OUT (-)"
75,"B3",0.002,"Strain_B","Knock-OUT (-)"
75,"B4",0.003,"Strain_B","Knock-OUT (-)"
75,"B5",0.003,"Strain_B","Knock-OUT (-)"
75,"B6",0.003,"Strain_B","Knock-OUT (-)"
75,"B7",0.002,"Strain_B","Knock-IN (+)"
75,"B8",0.003,"Strain_B","Knock-IN (+)"
75,"B9",0.003,"Strain_B","Knock-IN (+)"
75,"B10",0.003,"Strain_B","Knock-IN (+)"
75,"B11",0.003,"Strain_B","Knock-IN (+)"
75,"B12",0.003,"Strain_B","Knock-IN (+)"
75,"C1",0.002,"Strain_C","Knock-OUT (-)"
75,"C2",0.002,"Strain_C","Knock-OUT (-)"
75,"C3",0.003,"Strain_C","Knock-OUT (-)"
75,"C4",0.002,"Strain_C","Knock-OUT (-)"
75,"C5",0.002,"Strain_C","Knock-OUT (-)"
75,"C6",0.002,"Strain_C","Knock-OUT (-)"
75,"C7",0.002,"Strain_C","Knock-IN (+)"
75,"C8",0.003,"Strain_C","Knock-IN (+)"
75,"C9",0.002,"Strain_C","Knock-IN (+)"
75,"C10",0.002,"Strain_C","Knock-IN (+)"
75,"C11",0.003,"Strain_C","Knock-IN (+)"
75,"C12",0.003,"Strain_C","Knock-IN (+)"
90,"A1",0.003,"Strain_A","Knock-OUT (-)"
90,"A2",0.002,"Strain_A","Knock-OUT (-)"
90,"A3",0.003,"Strain_A","Knock-OUT (-)"
90,"A4",0.002,"Strain_A","Knock-OUT (-)"
90,"A5",0.003,"Strain_A","Knock-OUT (-)"
90,"A6",0.003,"Strain_A","Knock-OUT (-)"
90,"A7",0.003,"Strain_A","Knock-IN (+)"
90,"A8",0.003,"Strain_A","Knock-IN (+)"
90,"A9",0.003,"Strain_A","Knock-IN (+)"
90,"A10",0.003,"Strain_A","Knock-IN (+)"
90,"A11",0.003,"Strain_A","Knock-IN (+)"
90,"A12",0.003,"Strain_A","Knock-IN (+)"
90,"B1",0.002,"Strain_B","Knock-OUT (-)"
90,"B2",0.003,"Strain_B","Knock-OUT (-)"
90,"B3",0.002,"Strain_B","Knock-OUT (-)"
90,"B4",0.003,"Strain_B","Knock-OUT (-)"
90,"B5",0.003,"Strain_B","Knock-OUT (-)"
90,"B6",0.003,"Strain_B","Knock-OUT (-)"
90,"B7",0.002,"Strain_B","Knock-IN (+)"
90,"B8",0.003,"Strain_B","Knock-IN (+)"
90,"B9",0.003,"Strain_B","Knock-IN (+)"
90,"B10",0.003,"Strain_B","Knock-IN (+)"
90,"B11",0.003,"Strain_B","Knock-IN (+)"
90,"B12",0.003,"Strain_B","Knock-IN (+)"
90,"C1",0.002,"Strain_C","Knock-OUT (-)"
90,"C2",0.003,"Strain_C","Knock-OUT (-)"
90,"C3",0.003,"Strain_C","Knock-OUT (-)"
90,"C4",0.002,"Strain_C","Knock-OUT (-)"
90,"C5",0.002,"Strain_C","Knock-OUT (-)"
90,"C6",0.002,"Strain_C","Knock-OUT (-)"
90,"C7",0.002,"Strain_C","Knock-IN (+)"
90,"C8",0.003,"Strain_C","Knock-IN (+)"
90,"C9",0.003,"Strain_C","Knock-IN (+)"
90,"C10",0.002,"Strain_C","Knock-IN (+)"
90,"C11",0.003,"Strain_C","Knock-IN (+)"
90,"C12",0.003,"Strain_C","Knock-IN (+)"
105,"A1",0.004,"Strain_A","Knock-OUT (-)"
105,"A2",0.003,"Strain_A","Knock-OUT (-)"
105,"A3",0.003,"Strain_A","Knock-OUT (-)"
105,"A4",0.002,"Strain_A","Knock-OUT (-)"
105,"A5",0.003,"Strain_A","Knock-OUT (-)"
105,"A6",0.003,"Strain_A","Knock-OUT (-)"
105,"A7",0.003,"Strain_A","Knock-IN (+)"
105,"A8",0.003,"Strain_A","Knock-IN (+)"
105,"A9",0.003,"Strain_A","Knock-IN (+)"
105,"A10",0.003,"Strain_A","Knock-IN (+)"
105,"A11",0.004,"Strain_A","Knock-IN (+)"
105,"A12",0.004,"Strain_A","Knock-IN (+)"
105,"B1",0.002,"Strain_B","Knock-OUT (-)"
105,"B2",0.003,"Strain_B","Knock-OUT (-)"
105,"B3",0.002,"Strain_B","Knock-OUT (-)"
105,"B4",0.004,"Strain_B","Knock-OUT (-)"
105,"B5",0.004,"Strain_B","Knock-OUT (-)"
105,"B6",0.003,"Strain_B","Knock-OUT (-)"
105,"B7",0.003,"Strain_B","Knock-IN (+)"
105,"B8",0.004,"Strain_B","Knock-IN (+)"
105,"B9",0.003,"Strain_B","Knock-IN (+)"
105,"B10",0.003,"Strain_B","Knock-IN (+)"
105,"B11",0.004,"Strain_B","Knock-IN (+)"
105,"B12",0.003,"Strain_B","Knock-IN (+)"
105,"C1",0.002,"Strain_C","Knock-OUT (-)"
105,"C2",0.003,"Strain_C","Knock-OUT (-)"
105,"C3",0.004,"Strain_C","Knock-OUT (-)"
105,"C4",0.002,"Strain_C","Knock-OUT (-)"
105,"C5",0.003,"Strain_C","Knock-OUT (-)"
105,"C6",0.002,"Strain_C","Knock-OUT (-)"
105,"C7",0.003,"Strain_C","Knock-IN (+)"
105,"C8",0.004,"Strain_C","Knock-IN (+)"
105,"C9",0.003,"Strain_C","Knock-IN (+)"
105,"C10",0.003,"Strain_C","Knock-IN (+)"
105,"C11",0.003,"Strain_C","Knock-IN (+)"
105,"C12",0.004,"Strain_C","Knock-IN (+)"
120,"A1",0.005,"Strain_A","Knock-OUT (-)"
120,"A2",0.003,"Strain_A","Knock-OUT (-)"
120,"A3",0.004,"Strain_A","Knock-OUT (-)"
120,"A4",0.003,"Strain_A","Knock-OUT (-)"
120,"A5",0.003,"Strain_A","Knock-OUT (-)"
120,"A6",0.004,"Strain_A","Knock-OUT (-)"
120,"A7",0.003,"Strain_A","Knock-IN (+)"
120,"A8",0.004,"Strain_A","Knock-IN (+)"
120,"A9",0.004,"Strain_A","Knock-IN (+)"
120,"A10",0.004,"Strain_A","Knock-IN (+)"
120,"A11",0.005,"Strain_A","Knock-IN (+)"
120,"A12",0.005,"Strain_A","Knock-IN (+)"
120,"B1",0.002,"Strain_B","Knock-OUT (-)"
120,"B2",0.004,"Strain_B","Knock-OUT (-)"
120,"B3",0.003,"Strain_B","Knock-OUT (-)"
120,"B4",0.005,"Strain_B","Knock-OUT (-)"
120,"B5",0.005,"Strain_B","Knock-OUT (-)"
120,"B6",0.004,"Strain_B","Knock-OUT (-)"
120,"B7",0.003,"Strain_B","Knock-IN (+)"
120,"B8",0.005,"Strain_B","Knock-IN (+)"
120,"B9",0.004,"Strain_B","Knock-IN (+)"
120,"B10",0.004,"Strain_B","Knock-IN (+)"
120,"B11",0.005,"Strain_B","Knock-IN (+)"
120,"B12",0.004,"Strain_B","Knock-IN (+)"
120,"C1",0.002,"Strain_C","Knock-OUT (-)"
120,"C2",0.003,"Strain_C","Knock-OUT (-)"
120,"C3",0.005,"Strain_C","Knock-OUT (-)"
120,"C4",0.002,"Strain_C","Knock-OUT (-)"
120,"C5",0.003,"Strain_C","Knock-OUT (-)"
120,"C6",0.002,"Strain_C","Knock-OUT (-)"
120,"C7",0.003,"Strain_C","Knock-IN (+)"
120,"C8",0.005,"Strain_C","Knock-IN (+)"
120,"C9",0.003,"Strain_C","Knock-IN (+)"
120,"C10",0.003,"Strain_C","Knock-IN (+)"
120,"C11",0.004,"Strain_C","Knock-IN (+)"
120,"C12",0.005,"Strain_C","Knock-IN (+)"
135,"A1",0.007,"Strain_A","Knock-OUT (-)"
135,"A2",0.003,"Strain_A","Knock-OUT (-)"
135,"A3",0.005,"Strain_A","Knock-OUT (-)"
135,"A4",0.003,"Strain_A","Knock-OUT (-)"
135,"A5",0.004,"Strain_A","Knock-OUT (-)"
135,"A6",0.005,"Strain_A","Knock-OUT (-)"
135,"A7",0.004,"Strain_A","Knock-IN (+)"
135,"A8",0.005,"Strain_A","Knock-IN (+)"
135,"A9",0.005,"Strain_A","Knock-IN (+)"
135,"A10",0.005,"Strain_A","Knock-IN (+)"
135,"A11",0.007,"Strain_A","Knock-IN (+)"
135,"A12",0.007,"Strain_A","Knock-IN (+)"
135,"B1",0.003,"Strain_B","Knock-OUT (-)"
135,"B2",0.004,"Strain_B","Knock-OUT (-)"
135,"B3",0.003,"Strain_B","Knock-OUT (-)"
135,"B4",0.008,"Strain_B","Knock-OUT (-)"
135,"B5",0.007,"Strain_B","Knock-OUT (-)"
135,"B6",0.004,"Strain_B","Knock-OUT (-)"
135,"B7",0.003,"Strain_B","Knock-IN (+)"
135,"B8",0.006,"Strain_B","Knock-IN (+)"
135,"B9",0.004,"Strain_B","Knock-IN (+)"
135,"B10",0.005,"Strain_B","Knock-IN (+)"
135,"B11",0.007,"Strain_B","Knock-IN (+)"
135,"B12",0.005,"Strain_B","Knock-IN (+)"
135,"C1",0.003,"Strain_C","Knock-OUT (-)"
135,"C2",0.004,"Strain_C","Knock-OUT (-)"
135,"C3",0.006,"Strain_C","Knock-OUT (-)"
135,"C4",0.003,"Strain_C","Knock-OUT (-)"
135,"C5",0.003,"Strain_C","Knock-OUT (-)"
135,"C6",0.003,"Strain_C","Knock-OUT (-)"
135,"C7",0.003,"Strain_C","Knock-IN (+)"
135,"C8",0.006,"Strain_C","Knock-IN (+)"
135,"C9",0.003,"Strain_C","Knock-IN (+)"
135,"C10",0.003,"Strain_C","Knock-IN (+)"
135,"C11",0.005,"Strain_C","Knock-IN (+)"
135,"C12",0.006,"Strain_C","Knock-IN (+)"
150,"A1",0.01,"Strain_A","Knock-OUT (-)"
150,"A2",0.004,"Strain_A","Knock-OUT (-)"
150,"A3",0.006,"Strain_A","Knock-OUT (-)"
150,"A4",0.003,"Strain_A","Knock-OUT (-)"
150,"A5",0.005,"Strain_A","Knock-OUT (-)"
150,"A6",0.007,"Strain_A","Knock-OUT (-)"
150,"A7",0.005,"Strain_A","Knock-IN (+)"
150,"A8",0.006,"Strain_A","Knock-IN (+)"
150,"A9",0.007,"Strain_A","Knock-IN (+)"
150,"A10",0.006,"Strain_A","Knock-IN (+)"
150,"A11",0.01,"Strain_A","Knock-IN (+)"
150,"A12",0.011,"Strain_A","Knock-IN (+)"
150,"B1",0.003,"Strain_B","Knock-OUT (-)"
150,"B2",0.005,"Strain_B","Knock-OUT (-)"
150,"B3",0.003,"Strain_B","Knock-OUT (-)"
150,"B4",0.011,"Strain_B","Knock-OUT (-)"
150,"B5",0.01,"Strain_B","Knock-OUT (-)"
150,"B6",0.006,"Strain_B","Knock-OUT (-)"
150,"B7",0.004,"Strain_B","Knock-IN (+)"
150,"B8",0.008,"Strain_B","Knock-IN (+)"
150,"B9",0.006,"Strain_B","Knock-IN (+)"
150,"B10",0.006,"Strain_B","Knock-IN (+)"
150,"B11",0.01,"Strain_B","Knock-IN (+)"
150,"B12",0.007,"Strain_B","Knock-IN (+)"
150,"C1",0.003,"Strain_C","Knock-OUT (-)"
150,"C2",0.005,"Strain_C","Knock-OUT (-)"
150,"C3",0.008,"Strain_C","Knock-OUT (-)"
150,"C4",0.003,"Strain_C","Knock-OUT (-)"
150,"C5",0.004,"Strain_C","Knock-OUT (-)"
150,"C6",0.003,"Strain_C","Knock-OUT (-)"
150,"C7",0.004,"Strain_C","Knock-IN (+)"
150,"C8",0.008,"Strain_C","Knock-IN (+)"
150,"C9",0.004,"Strain_C","Knock-IN (+)"
150,"C10",0.004,"Strain_C","Knock-IN (+)"
150,"C11",0.007,"Strain_C","Knock-IN (+)"
150,"C12",0.008,"Strain_C","Knock-IN (+)"
165,"A1",0.015,"Strain_A","Knock-OUT (-)"
165,"A2",0.004,"Strain_A","Knock-OUT (-)"
165,"A3",0.008,"Strain_A","Knock-OUT (-)"
165,"A4",0.003,"Strain_A","Knock-OUT (-)"
165,"A5",0.006,"Strain_A","Knock-OUT (-)"
165,"A6",0.009,"Strain_A","Knock-OUT (-)"
165,"A7",0.006,"Strain_A","Knock-IN (+)"
165,"A8",0.009,"Strain_A","Knock-IN (+)"
165,"A9",0.009,"Strain_A","Knock-IN (+)"
165,"A10",0.008,"Strain_A","Knock-IN (+)"
165,"A11",0.014,"Strain_A","Knock-IN (+)"
165,"A12",0.016,"Strain_A","Knock-IN (+)"
165,"B1",0.003,"Strain_B","Knock-OUT (-)"
165,"B2",0.007,"Strain_B","Knock-OUT (-)"
165,"B3",0.004,"Strain_B","Knock-OUT (-)"
165,"B4",0.017,"Strain_B","Knock-OUT (-)"
